timestamp,Level,soc,RawLevel,Voltage_mV,InstantAmperage_mA,P_mW,P_load_mW,Temperature_C,IsCharging,AppleRawMaxCapacity,DesignCapacity,CycleCount,screen_on,state,brightness_pct,cell_linkquality,gps_on,gps_avgPower_mW,activeInterval,measuredInterval,cell_down_Bps,cell_up_Bps,wifi_down_Bps,wifi_up_Bps,t_seconds
1769452261.705492,78.0,0.78,74.46662078458363,4126,-8,33.008,33.008,25.29,0,2906,3254,599,,,,100,0,0.0,0.0,0.0,3.296160512474522,25.26492946655685,522.6879621233151,209.8330200631628,8830.877652169
1769452636.370952,78.0,0.78,74.40660474716202,4125,-8,33.0,33.0,25.59,0,2907,3254,599,,,,100,0,0.0,0.0,0.0,3.296160512474522,25.26492946655685,522.6879621233151,209.8330200631628,9205.543112278
1769452655.607346,78.0,0.78,74.37220502235982,4123,-24,98.952,98.952,25.59,0,2907,3254,599,,,,100,0,0.0,0.0,490.0,3.296160512474522,25.26492946655685,522.6879621233151,209.8330200631628,9224.779506207
1769452882.352525,78.0,0.78,74.36338609772884,4125,-8,33.0,33.0,25.5,0,2906,3254,599,,,,100,0,0.0,0.0,490.0,3.296160512474522,25.26492946655685,522.6879621233151,209.8330200631628,9451.524685145
1769453342.382812,78.0,0.78,74.32013769363166,4124,-14,57.736,57.736,25.0,0,2905,3254,599,,,,100,0,0.0,0.0,490.0,3.296160512474522,25.26492946655685,522.6879621233151,209.8330200631628,9911.554972172
1769453551.347873,78.0,0.78,74.2512908777969,4123,-8,32.984,32.984,24.89,0,2905,3254,599,,,,100,0,0.0,0.0,706.0,3.296160512474522,25.26492946655685,522.6879621233151,209.8330200631628,10120.520033121
1769453570.599658,78.0,0.78,74.2512908777969,4121,-23,94.783,94.783,24.89,0,2905,3254,599,,,,100,0,0.0,0.0,706.0,3.296160512474522,25.26492946655685,522.6879621233151,209.8330200631628,10139.771818161
1769454233.603336,78.0,0.78,74.20798898071625,4122,-11,45.342,45.342,24.39,0,2904,3254,599,,,,100,0,0.0,0.0,706.0,3.296160512474522,25.26492946655685,522.6879621233151,209.8330200631628,10802.775496006
1769454466.366991,78.0,0.78,74.16465725111954,4119,-48,197.712,197.712,24.29,0,2903,3254,599,,,,100,0,0.0,0.0,0.0,1.1033153627273442,1.339398033658152,145.90771010326708,28.86433885426767,11035.539151192
1769454485.617856,78.0,0.78,74.16465725111954,4120,-25,103.0,103.0,24.29,0,2903,3254,599,,,,100,0,0.0,0.0,0.0,1.1033153627273442,1.339398033658152,145.90771010326708,28.86433885426767,11054.790016175
